timestamp_unix,timestamp_iso,participant_full_id,wearing_detection_percentage,missing_value_reason
1733356800000,2024-12-05T00:00:00Z,1573-1-1-00002,,device_not_recording
1733356860000,2024-12-05T00:01:00Z,1573-1-1-00002,,device_not_recording
1733356920000,2024-12-05T00:02:00Z,1573-1-1-00002,,device_not_recording
1733356980000,2024-12-05T00:03:00Z,1573-1-1-00002,,device_not_recording
1733357040000,2024-12-05T00:04:00Z,1573-1-1-00002,,device_not_recording
1733357100000,2024-12-05T00:05:00Z,1573-1-1-00002,,device_not_recording
1733357160000,2024-12-05T00:06:00Z,1573-1-1-00002,,device_not_recording
1733357220000,2024-12-05T00:07:00Z,1573-1-1-00002,,device_not_recording
1733357280000,2024-12-05T00:08:00Z,1573-1-1-00002,,device_not_recording
1733357340000,2024-12-05T00:09:00Z,1573-1-1-00002,,device_not_recording
1733357400000,2024-12-05T00:10:00Z,1573-1-1-00002,,device_not_recording
1733357460000,2024-12-05T00:11:00Z,1573-1-1-00002,,device_not_recording
1733357520000,2024-12-05T00:12:00Z,1573-1-1-00002,,device_not_recording
1733357580000,2024-12-05T00:13:00Z,1573-1-1-00002,,device_not_recording
1733357640000,2024-12-05T00:14:00Z,1573-1-1-00002,,device_not_recording
1733357700000,2024-12-05T00:15:00Z,1573-1-1-00002,,device_not_recording
1733357760000,2024-12-05T00:16:00Z,1573-1-1-00002,,device_not_recording
1733357820000,2024-12-05T00:17:00Z,1573-1-1-00002,,device_not_recording
1733357880000,2024-12-05T00:18:00Z,1573-1-1-00002,,device_not_recording
1733357940000,2024-12-05T00:19:00Z,1573-1-1-00002,,device_not_recording
1733358000000,2024-12-05T00:20:00Z,1573-1-1-00002,,device_not_recording
1733358060000,2024-12-05T00:21:00Z,1573-1-1-00002,,device_not_recording
1733358120000,2024-12-05T00:22:00Z,1573-1-1-00002,,device_not_recording
1733358180000,2024-12-05T00:23:00Z,1573-1-1-00002,,device_not_recording
1733358240000,2024-12-05T00:24:00Z,1573-1-1-00002,,device_not_recording
1733358300000,2024-12-05T00:25:00Z,1573-1-1-00002,,device_not_recording
1733358360000,2024-12-05T00:26:00Z,1573-1-1-00002,,device_not_recording
1733358420000,2024-12-05T00:27:00Z,1573-1-1-00002,,device_not_recording
1733358480000,2024-12-05T00:28:00Z,1573-1-1-00002,,device_not_recording
1733358540000,2024-12-05T00:29:00Z,1573-1-1-00002,,device_not_recording
1733358600000,2024-12-05T00:30:00Z,1573-1-1-00002,,device_not_recording
1733358660000,2024-12-05T00:31:00Z,1573-1-1-00002,,device_not_recording
1733358720000,2024-12-05T00:32:00Z,1573-1-1-00002,,device_not_recording
1733358780000,2024-12-05T00:33:00Z,1573-1-1-00002,,device_not_recording
1733358840000,2024-12-05T00:34:00Z,1573-1-1-00002,,device_not_recording
1733358900000,2024-12-05T00:35:00Z,1573-1-1-00002,,device_not_recording
1733358960000,2024-12-05T00:36:00Z,1573-1-1-00002,,device_not_recording
1733359020000,2024-12-05T00:37:00Z,1573-1-1-00002,,device_not_recording
1733359080000,2024-12-05T00:38:00Z,1573-1-1-00002,,device_not_recording
1733359140000,2024-12-05T00:39:00Z,1573-1-1-00002,,device_not_recording
1733359200000,2024-12-05T00:40:00Z,1573-1-1-00002,,device_not_recording
1733359260000,2024-12-05T00:41:00Z,1573-1-1-00002,,device_not_recording
1733359320000,2024-12-05T00:42:00Z,1573-1-1-00002,,device_not_recording
1733359380000,2024-12-05T00:43:00Z,1573-1-1-00002,,device_not_recording
1733359440000,2024-12-05T00:44:00Z,1573-1-1-00002,,device_not_recording
1733359500000,2024-12-05T00:45:00Z,1573-1-1-00002,,device_not_recording
1733359560000,2024-12-05T00:46:00Z,1573-1-1-00002,,device_not_recording
1733359620000,2024-12-05T00:47:00Z,1573-1-1-00002,,device_not_recording
1733359680000,2024-12-05T00:48:00Z,1573-1-1-00002,,device_not_recording
1733359740000,2024-12-05T00:49:00Z,1573-1-1-00002,,device_not_recording
1733359800000,2024-12-05T00:50:00Z,1573-1-1-00002,,device_not_recording
1733359860000,2024-12-05T00:51:00Z,1573-1-1-00002,,device_not_recording
1733359920000,2024-12-05T00:52:00Z,1573-1-1-00002,,device_not_recording
1733359980000,2024-12-05T00:53:00Z,1573-1-1-00002,,device_not_recording
1733360040000,2024-12-05T00:54:00Z,1573-1-1-00002,,device_not_recording
1733360100000,2024-12-05T00:55:00Z,1573-1-1-00002,,device_not_recording
1733360160000,2024-12-05T00:56:00Z,1573-1-1-00002,,device_not_recording
1733360220000,2024-12-05T00:57:00Z,1573-1-1-00002,,device_not_recording
1733360280000,2024-12-05T00:58:00Z,1573-1-1-00002,,device_not_recording
1733360340000,2024-12-05T00:59:00Z,1573-1-1-00002,,device_not_recording
1733360400000,2024-12-05T01:00:00Z,1573-1-1-00002,,device_not_recording
1733360460000,2024-12-05T01:01:00Z,1573-1-1-00002,,device_not_recording
1733360520000,2024-12-05T01:02:00Z,1573-1-1-00002,,device_not_recording
1733360580000,2024-12-05T01:03:00Z,1573-1-1-00002,,device_not_recording
1733360640000,2024-12-05T01:04:00Z,1573-1-1-00002,,device_not_recording
1733360700000,2024-12-05T01:05:00Z,1573-1-1-00002,,device_not_recording
1733360760000,2024-12-05T01:06:00Z,1573-1-1-00002,,device_not_recording
1733360820000,2024-12-05T01:07:00Z,1573-1-1-00002,,device_not_recording
1733360880000,2024-12-05T01:08:00Z,1573-1-1-00002,,device_not_recording
1733360940000,2024-12-05T01:09:00Z,1573-1-1-00002,,device_not_recording
1733361000000,2024-12-05T01:10:00Z,1573-1-1-00002,,device_not_recording
1733361060000,2024-12-05T01:11:00Z,1573-1-1-00002,,device_not_recording
1733361120000,2024-12-05T01:12:00Z,1573-1-1-00002,,device_not_recording
1733361180000,2024-12-05T01:13:00Z,1573-1-1-00002,,device_not_recording
1733361240000,2024-12-05T01:14:00Z,1573-1-1-00002,,device_not_recording
1733361300000,2024-12-05T01:15:00Z,1573-1-1-00002,,device_not_recording
1733361360000,2024-12-05T01:16:00Z,1573-1-1-00002,,device_not_recording
1733361420000,2024-12-05T01:17:00Z,1573-1-1-00002,,device_not_recording
1733361480000,2024-12-05T01:18:00Z,1573-1-1-00002,,device_not_recording
1733361540000,2024-12-05T01:19:00Z,1573-1-1-00002,,device_not_recording
1733361600000,2024-12-05T01:20:00Z,1573-1-1-00002,,device_not_recording
1733361660000,2024-12-05T01:21:00Z,1573-1-1-00002,,device_not_recording
1733361720000,2024-12-05T01:22:00Z,1573-1-1-00002,,device_not_recording
1733361780000,2024-12-05T01:23:00Z,1573-1-1-00002,,device_not_recording
1733361840000,2024-12-05T01:24:00Z,1573-1-1-00002,,device_not_recording
1733361900000,2024-12-05T01:25:00Z,1573-1-1-00002,,device_not_recording
1733361960000,2024-12-05T01:26:00Z,1573-1-1-00002,,device_not_recording
1733362020000,2024-12-05T01:27:00Z,1573-1-1-00002,,device_not_recording
1733362080000,2024-12-05T01:28:00Z,1573-1-1-00002,,device_not_recording
1733362140000,2024-12-05T01:29:00Z,1573-1-1-00002,,device_not_recording
1733362200000,2024-12-05T01:30:00Z,1573-1-1-00002,,device_not_recording
1733362260000,2024-12-05T01:31:00Z,1573-1-1-00002,,device_not_recording
1733362320000,2024-12-05T01:32:00Z,1573-1-1-00002,,device_not_recording
1733362380000,2024-12-05T01:33:00Z,1573-1-1-00002,,device_not_recording
1733362440000,2024-12-05T01:34:00Z,1573-1-1-00002,,device_not_recording
1733362500000,2024-12-05T01:35:00Z,1573-1-1-00002,,device_not_recording
1733362560000,2024-12-05T01:36:00Z,1573-1-1-00002,,device_not_recording
1733362620000,2024-12-05T01:37:00Z,1573-1-1-00002,,device_not_recording
1733362680000,2024-12-05T01:38:00Z,1573-1-1-00002,,device_not_recording
1733362740000,2024-12-05T01:39:00Z,1573-1-1-00002,,device_not_recording
1733362800000,2024-12-05T01:40:00Z,1573-1-1-00002,,device_not_recording
1733362860000,2024-12-05T01:41:00Z,1573-1-1-00002,,device_not_recording
1733362920000,2024-12-05T01:42:00Z,1573-1-1-00002,,device_not_recording
1733362980000,2024-12-05T01:43:00Z,1573-1-1-00002,,device_not_recording
1733363040000,2024-12-05T01:44:00Z,1573-1-1-00002,,device_not_recording
1733363100000,2024-12-05T01:45:00Z,1573-1-1-00002,,device_not_recording
1733363160000,2024-12-05T01:46:00Z,1573-1-1-00002,,device_not_recording
1733363220000,2024-12-05T01:47:00Z,1573-1-1-00002,,device_not_recording
1733363280000,2024-12-05T01:48:00Z,1573-1-1-00002,,device_not_recording
1733363340000,2024-12-05T01:49:00Z,1573-1-1-00002,,device_not_recording
1733363400000,2024-12-05T01:50:00Z,1573-1-1-00002,,device_not_recording
1733363460000,2024-12-05T01:51:00Z,1573-1-1-00002,,device_not_recording
1733363520000,2024-12-05T01:52:00Z,1573-1-1-00002,,device_not_recording
1733363580000,2024-12-05T01:53:00Z,1573-1-1-00002,,device_not_recording
1733363640000,2024-12-05T01:54:00Z,1573-1-1-00002,,device_not_recording
1733363700000,2024-12-05T01:55:00Z,1573-1-1-00002,,device_not_recording
1733363760000,2024-12-05T01:56:00Z,1573-1-1-00002,,device_not_recording
1733363820000,2024-12-05T01:57:00Z,1573-1-1-00002,,device_not_recording
1733363880000,2024-12-05T01:58:00Z,1573-1-1-00002,,device_not_recording
1733363940000,2024-12-05T01:59:00Z,1573-1-1-00002,,device_not_recording
1733364000000,2024-12-05T02:00:00Z,1573-1-1-00002,,device_not_recording
1733364060000,2024-12-05T02:01:00Z,1573-1-1-00002,,device_not_recording
1733364120000,2024-12-05T02:02:00Z,1573-1-1-00002,,device_not_recording
1733364180000,2024-12-05T02:03:00Z,1573-1-1-00002,,device_not_recording
1733364240000,2024-12-05T02:04:00Z,1573-1-1-00002,,device_not_recording
1733364300000,2024-12-05T02:05:00Z,1573-1-1-00002,,device_not_recording
1733364360000,2024-12-05T02:06:00Z,1573-1-1-00002,,device_not_recording
1733364420000,2024-12-05T02:07:00Z,1573-1-1-00002,,device_not_recording
1733364480000,2024-12-05T02:08:00Z,1573-1-1-00002,,device_not_recording
1733364540000,2024-12-05T02:09:00Z,1573-1-1-00002,,device_not_recording
1733364600000,2024-12-05T02:10:00Z,1573-1-1-00002,,device_not_recording
1733364660000,2024-12-05T02:11:00Z,1573-1-1-00002,,device_not_recording
1733364720000,2024-12-05T02:12:00Z,1573-1-1-00002,,device_not_recording
1733364780000,2024-12-05T02:13:00Z,1573-1-1-00002,,device_not_recording
1733364840000,2024-12-05T02:14:00Z,1573-1-1-00002,,device_not_recording
1733364900000,2024-12-05T02:15:00Z,1573-1-1-00002,,device_not_recording
1733364960000,2024-12-05T02:16:00Z,1573-1-1-00002,,device_not_recording
1733365020000,2024-12-05T02:17:00Z,1573-1-1-00002,,device_not_recording
1733365080000,2024-12-05T02:18:00Z,1573-1-1-00002,,device_not_recording
1733365140000,2024-12-05T02:19:00Z,1573-1-1-00002,,device_not_recording
1733365200000,2024-12-05T02:20:00Z,1573-1-1-00002,,device_not_recording
1733365260000,2024-12-05T02:21:00Z,1573-1-1-00002,,device_not_recording
1733365320000,2024-12-05T02:22:00Z,1573-1-1-00002,,device_not_recording
1733365380000,2024-12-05T02:23:00Z,1573-1-1-00002,,device_not_recording
1733365440000,2024-12-05T02:24:00Z,1573-1-1-00002,,device_not_recording
1733365500000,2024-12-05T02:25:00Z,1573-1-1-00002,,device_not_recording
1733365560000,2024-12-05T02:26:00Z,1573-1-1-00002,,device_not_recording
1733365620000,2024-12-05T02:27:00Z,1573-1-1-00002,,device_not_recording
1733365680000,2024-12-05T02:28:00Z,1573-1-1-00002,,device_not_recording
1733365740000,2024-12-05T02:29:00Z,1573-1-1-00002,,device_not_recording
1733365800000,2024-12-05T02:30:00Z,1573-1-1-00002,,device_not_recording
1733365860000,2024-12-05T02:31:00Z,1573-1-1-00002,,device_not_recording
1733365920000,2024-12-05T02:32:00Z,1573-1-1-00002,,device_not_recording
1733365980000,2024-12-05T02:33:00Z,1573-1-1-00002,,device_not_recording
1733366040000,2024-12-05T02:34:00Z,1573-1-1-00002,,device_not_recording
1733366100000,2024-12-05T02:35:00Z,1573-1-1-00002,,device_not_recording
1733366160000,2024-12-05T02:36:00Z,1573-1-1-00002,,device_not_recording
1733366220000,2024-12-05T02:37:00Z,1573-1-1-00002,,device_not_recording
