timestamp_unix,timestamp_iso,participant_full_id,body_position_left,body_position_right,missing_value_reason
1747008000000,2025-05-12T00:00:00Z,1974-1-1-09,,,device_not_recording
1747008060000,2025-05-12T00:01:00Z,1974-1-1-09,,,device_not_recording
1747008120000,2025-05-12T00:02:00Z,1974-1-1-09,,,device_not_recording
1747008180000,2025-05-12T00:03:00Z,1974-1-1-09,,,device_not_recording
1747008240000,2025-05-12T00:04:00Z,1974-1-1-09,,,device_not_recording
1747008300000,2025-05-12T00:05:00Z,1974-1-1-09,,,device_not_recording
1747008360000,2025-05-12T00:06:00Z,1974-1-1-09,,,device_not_recording
1747008420000,2025-05-12T00:07:00Z,1974-1-1-09,,,device_not_recording
1747008480000,2025-05-12T00:08:00Z,1974-1-1-09,,,device_not_recording
1747008540000,2025-05-12T00:09:00Z,1974-1-1-09,,,device_not_recording
1747008600000,2025-05-12T00:10:00Z,1974-1-1-09,,,device_not_recording
1747008660000,2025-05-12T00:11:00Z,1974-1-1-09,,,device_not_recording
1747008720000,2025-05-12T00:12:00Z,1974-1-1-09,,,device_not_recording
1747008780000,2025-05-12T00:13:00Z,1974-1-1-09,,,device_not_recording
1747008840000,2025-05-12T00:14:00Z,1974-1-1-09,,,device_not_recording
1747008900000,2025-05-12T00:15:00Z,1974-1-1-09,,,device_not_recording
1747008960000,2025-05-12T00:16:00Z,1974-1-1-09,,,device_not_recording
1747009020000,2025-05-12T00:17:00Z,1974-1-1-09,,,device_not_recording
1747009080000,2025-05-12T00:18:00Z,1974-1-1-09,,,device_not_recording
1747009140000,2025-05-12T00:19:00Z,1974-1-1-09,,,device_not_recording
1747009200000,2025-05-12T00:20:00Z,1974-1-1-09,,,device_not_recording
1747009260000,2025-05-12T00:21:00Z,1974-1-1-09,,,device_not_recording
1747009320000,2025-05-12T00:22:00Z,1974-1-1-09,,,device_not_recording
1747009380000,2025-05-12T00:23:00Z,1974-1-1-09,,,device_not_recording
1747009440000,2025-05-12T00:24:00Z,1974-1-1-09,,,device_not_recording
1747009500000,2025-05-12T00:25:00Z,1974-1-1-09,,,device_not_recording
1747009560000,2025-05-12T00:26:00Z,1974-1-1-09,,,device_not_recording
1747009620000,2025-05-12T00:27:00Z,1974-1-1-09,,,device_not_recording
1747009680000,2025-05-12T00:28:00Z,1974-1-1-09,,,device_not_recording
