timestamp_unix,timestamp_iso,participant_full_id,pulse_rate_bpm,missing_value_reason
1746921600000,2025-05-11T00:00:00Z,1974-1-1-06,,device_not_recording
1746921660000,2025-05-11T00:01:00Z,1974-1-1-06,,device_not_recording
1746921720000,2025-05-11T00:02:00Z,1974-1-1-06,,device_not_recording
1746921780000,2025-05-11T00:03:00Z,1974-1-1-06,,device_not_recording
1746921840000,2025-05-11T00:04:00Z,1974-1-1-06,,device_not_recording
1746921900000,2025-05-11T00:05:00Z,1974-1-1-06,,device_not_recording
1746921960000,2025-05-11T00:06:00Z,1974-1-1-06,,device_not_recording
1746922020000,2025-05-11T00:07:00Z,1974-1-1-06,,device_not_recording
1746922080000,2025-05-11T00:08:00Z,1974-1-1-06,,device_not_recording
1746922140000,2025-05-11T00:09:00Z,1974-1-1-06,,device_not_recording
1746922200000,2025-05-11T00:10:00Z,1974-1-1-06,,device_not_recording
1746922260000,2025-05-11T00:11:00Z,1974-1-1-06,,device_not_recording
1746922320000,2025-05-11T00:12:00Z,1974-1-1-06,,device_not_recording
1746922380000,2025-05-11T00:13:00Z,1974-1-1-06,,device_not_recording
1746922440000,2025-05-11T00:14:00Z,1974-1-1-06,,device_not_recording
1746922500000,2025-05-11T00:15:00Z,1974-1-1-06,,device_not_recording
1746922560000,2025-05-11T00:16:00Z,1974-1-1-06,,device_not_recording
1746922620000,2025-05-11T00:17:00Z,1974-1-1-06,,device_not_recording
1746922680000,2025-05-11T00:18:00Z,1974-1-1-06,,device_not_recording
1746922740000,2025-05-11T00:19:00Z,1974-1-1-06,,device_not_recording
1746922800000,2025-05-11T00:20:00Z,1974-1-1-06,,device_not_recording
1746922860000,2025-05-11T00:21:00Z,1974-1-1-06,,device_not_recording
1746922920000,2025-05-11T00:22:00Z,1974-1-1-06,,device_not_recording
1746922980000,2025-05-11T00:23:00Z,1974-1-1-06,,device_not_recording
1746923040000,2025-05-11T00:24:00Z,1974-1-1-06,,device_not_recording
1746923100000,2025-05-11T00:25:00Z,1974-1-1-06,,device_not_recording
1746923160000,2025-05-11T00:26:00Z,1974-1-1-06,,device_not_recording
1746923220000,2025-05-11T00:27:00Z,1974-1-1-06,,device_not_recording
1746923280000,2025-05-11T00:28:00Z,1974-1-1-06,,device_not_recording
1746923340000,2025-05-11T00:29:00Z,1974-1-1-06,,device_not_recording
1746923400000,2025-05-11T00:30:00Z,1974-1-1-06,,device_not_recording
1746923460000,2025-05-11T00:31:00Z,1974-1-1-06,,device_not_recording
1746923520000,2025-05-11T00:32:00Z,1974-1-1-06,,device_not_recording
1746923580000,2025-05-11T00:33:00Z,1974-1-1-06,,device_not_recording
1746923640000,2025-05-11T00:34:00Z,1974-1-1-06,,device_not_recording
1746923700000,2025-05-11T00:35:00Z,1974-1-1-06,,device_not_recording
1746923760000,2025-05-11T00:36:00Z,1974-1-1-06,,device_not_recording
1746923820000,2025-05-11T00:37:00Z,1974-1-1-06,,device_not_recording
1746923880000,2025-05-11T00:38:00Z,1974-1-1-06,,device_not_recording
1746923940000,2025-05-11T00:39:00Z,1974-1-1-06,,device_not_recording
1746924000000,2025-05-11T00:40:00Z,1974-1-1-06,,device_not_recording
1746924060000,2025-05-11T00:41:00Z,1974-1-1-06,,device_not_recording
1746924120000,2025-05-11T00:42:00Z,1974-1-1-06,,device_not_recording
1746924180000,2025-05-11T00:43:00Z,1974-1-1-06,,device_not_recording
1746924240000,2025-05-11T00:44:00Z,1974-1-1-06,,device_not_recording
1746924300000,2025-05-11T00:45:00Z,1974-1-1-06,,device_not_recording
1746924360000,2025-05-11T00:46:00Z,1974-1-1-06,,device_not_recording
1746924420000,2025-05-11T00:47:00Z,1974-1-1-06,,device_not_recording
1746924480000,2025-05-11T00:48:00Z,1974-1-1-06,,device_not_recording
1746924540000,2025-05-11T00:49:00Z,1974-1-1-06,,device_not_recording
1746924600000,2025-05-11T00:50:00Z,1974-1-1-06,,device_not_recording
1746924660000,2025-05-11T00:51:00Z,1974-1-1-06,,device_not_recording
1746924720000,2025-05-11T00:52:00Z,1974-1-1-06,,device_not_recording
1746924780000,2025-05-11T00:53:00Z,1974-1-1-06,,device_not_recording
1746924840000,2025-05-11T00:54:00Z,1974-1-1-06,,device_not_recording
1746924900000,2025-05-11T00:55:00Z,1974-1-1-06,,device_not_recording
1746924960000,2025-05-11T00:56:00Z,1974-1-1-06,,device_not_recording
1746925020000,2025-05-11T00:57:00Z,1974-1-1-06,,device_not_recording
1746925080000,2025-05-11T00:58:00Z,1974-1-1-06,,device_not_recording
1746925140000,2025-05-11T00:59:00Z,1974-1-1-06,,device_not_recording
