timestamp_unix,timestamp_iso,participant_full_id,activity_intensity,missing_value_reason
1745280000000,2025-04-22T00:00:00Z,1974-1-1-00,,device_not_recording
1745280060000,2025-04-22T00:01:00Z,1974-1-1-00,,device_not_recording
1745280120000,2025-04-22T00:02:00Z,1974-1-1-00,,device_not_recording
1745280180000,2025-04-22T00:03:00Z,1974-1-1-00,,device_not_recording
1745280240000,2025-04-22T00:04:00Z,1974-1-1-00,,device_not_recording
1745280300000,2025-04-22T00:05:00Z,1974-1-1-00,,device_not_recording
1745280360000,2025-04-22T00:06:00Z,1974-1-1-00,,device_not_recording
1745280420000,2025-04-22T00:07:00Z,1974-1-1-00,,device_not_recording
1745280480000,2025-04-22T00:08:00Z,1974-1-1-00,,device_not_recording
1745280540000,2025-04-22T00:09:00Z,1974-1-1-00,,device_not_recording
1745280600000,2025-04-22T00:10:00Z,1974-1-1-00,,device_not_recording
1745280660000,2025-04-22T00:11:00Z,1974-1-1-00,,device_not_recording
1745280720000,2025-04-22T00:12:00Z,1974-1-1-00,,device_not_recording
1745280780000,2025-04-22T00:13:00Z,1974-1-1-00,,device_not_recording
1745280840000,2025-04-22T00:14:00Z,1974-1-1-00,,device_not_recording
1745280900000,2025-04-22T00:15:00Z,1974-1-1-00,,device_not_recording
1745280960000,2025-04-22T00:16:00Z,1974-1-1-00,,device_not_recording
1745281020000,2025-04-22T00:17:00Z,1974-1-1-00,,device_not_recording
1745281080000,2025-04-22T00:18:00Z,1974-1-1-00,,device_not_recording
1745281140000,2025-04-22T00:19:00Z,1974-1-1-00,,device_not_recording
1745281200000,2025-04-22T00:20:00Z,1974-1-1-00,,device_not_recording
1745281260000,2025-04-22T00:21:00Z,1974-1-1-00,,device_not_recording
1745281320000,2025-04-22T00:22:00Z,1974-1-1-00,,device_not_recording
1745281380000,2025-04-22T00:23:00Z,1974-1-1-00,,device_not_recording
1745281440000,2025-04-22T00:24:00Z,1974-1-1-00,,device_not_recording
1745281500000,2025-04-22T00:25:00Z,1974-1-1-00,,device_not_recording
1745281560000,2025-04-22T00:26:00Z,1974-1-1-00,,device_not_recording
1745281620000,2025-04-22T00:27:00Z,1974-1-1-00,,device_not_recording
1745281680000,2025-04-22T00:28:00Z,1974-1-1-00,,device_not_recording
1745281740000,2025-04-22T00:29:00Z,1974-1-1-00,,device_not_recording
1745281800000,2025-04-22T00:30:00Z,1974-1-1-00,,device_not_recording
1745281860000,2025-04-22T00:31:00Z,1974-1-1-00,,device_not_recording
1745281920000,2025-04-22T00:32:00Z,1974-1-1-00,,device_not_recording
1745281980000,2025-04-22T00:33:00Z,1974-1-1-00,,device_not_recording
1745282040000,2025-04-22T00:34:00Z,1974-1-1-00,,device_not_recording
1745282100000,2025-04-22T00:35:00Z,1974-1-1-00,,device_not_recording
1745282160000,2025-04-22T00:36:00Z,1974-1-1-00,,device_not_recording
1745282220000,2025-04-22T00:37:00Z,1974-1-1-00,,device_not_recording
1745282280000,2025-04-22T00:38:00Z,1974-1-1-00,,device_not_recording
1745282340000,2025-04-22T00:39:00Z,1974-1-1-00,,device_not_recording
1745282400000,2025-04-22T00:40:00Z,1974-1-1-00,,device_not_recording
1745282460000,2025-04-22T00:41:00Z,1974-1-1-00,,device_not_recording
1745282520000,2025-04-22T00:42:00Z,1974-1-1-00,,device_not_recording
1745282580000,2025-04-22T00:43:00Z,1974-1-1-00,,device_not_recording
1745282640000,2025-04-22T00:44:00Z,1974-1-1-00,,device_not_recording
1745282700000,2025-04-22T00:45:00Z,1974-1-1-00,,device_not_recording
1745282760000,2025-04-22T00:46:00Z,1974-1-1-00,,device_not_recording
1745282820000,2025-04-22T00:47:00Z,1974-1-1-00,,device_not_recording
1745282880000,2025-04-22T00:48:00Z,1974-1-1-00,,device_not_recording
1745282940000,2025-04-22T00:49:00Z,1974-1-1-00,,device_not_recording
1745283000000,2025-04-22T00:50:00Z,1974-1-1-00,,device_not_recording
1745283060000,2025-04-22T00:51:00Z,1974-1-1-00,,device_not_recording
1745283120000,2025-04-22T00:52:00Z,1974-1-1-00,,device_not_recording
1745283180000,2025-04-22T00:53:00Z,1974-1-1-00,,device_not_recording
1745283240000,2025-04-22T00:54:00Z,1974-1-1-00,,device_not_recording
1745283300000,2025-04-22T00:55:00Z,1974-1-1-00,,device_not_recording
1745283360000,2025-04-22T00:56:00Z,1974-1-1-00,,device_not_recording
1745283420000,2025-04-22T00:57:00Z,1974-1-1-00,,device_not_recording
1745283480000,2025-04-22T00:58:00Z,1974-1-1-00,,device_not_recording
1745283540000,2025-04-22T00:59:00Z,1974-1-1-00,,device_not_recording
1745283600000,2025-04-22T01:00:00Z,1974-1-1-00,,device_not_recording
1745283660000,2025-04-22T01:01:00Z,1974-1-1-00,,device_not_recording
1745283720000,2025-04-22T01:02:00Z,1974-1-1-00,,device_not_recording
1745283780000,2025-04-22T01:03:00Z,1974-1-1-00,,device_not_recording
1745283840000,2025-04-22T01:04:00Z,1974-1-1-00,,device_not_recording
1745283900000,2025-04-22T01:05:00Z,1974-1-1-00,,device_not_recording
1745283960000,2025-04-22T01:06:00Z,1974-1-1-00,,device_not_recording
1745284020000,2025-04-22T01:07:00Z,1974-1-1-00,,device_not_recording
1745284080000,2025-04-22T01:08:00Z,1974-1-1-00,,device_not_recording
1745284140000,2025-04-22T01:09:00Z,1974-1-1-00,,device_not_recording
1745284200000,2025-04-22T01:10:00Z,1974-1-1-00,,device_not_recording
1745284260000,2025-04-22T01:11:00Z,1974-1-1-00,,device_not_recording
1745284320000,2025-04-22T01:12:00Z,1974-1-1-00,,device_not_recording
1745284380000,2025-04-22T01:13:00Z,1974-1-1-00,,device_not_recording
1745284440000,2025-04-22T01:14:00Z,1974-1-1-00,,device_not_recording
1745284500000,2025-04-22T01:15:00Z,1974-1-1-00,,device_not_recording
1745284560000,2025-04-22T01:16:00Z,1974-1-1-00,,device_not_recording
1745284620000,2025-04-22T01:17:00Z,1974-1-1-00,,device_not_recording
1745284680000,2025-04-22T01:18:00Z,1974-1-1-00,,device_not_recording
1745284740000,2025-04-22T01:19:00Z,1974-1-1-00,,device_not_recording
1745284800000,2025-04-22T01:20:00Z,1974-1-1-00,,device_not_recording
1745284860000,2025-04-22T01:21:00Z,1974-1-1-00,,device_not_recording
1745284920000,2025-04-22T01:22:00Z,1974-1-1-00,,device_not_recording
1745284980000,2025-04-22T01:23:00Z,1974-1-1-00,,device_not_recording
1745285040000,2025-04-22T01:24:00Z,1974-1-1-00,,device_not_recording
1745285100000,2025-04-22T01:25:00Z,1974-1-1-00,,device_not_recording
1745285160000,2025-04-22T01:26:00Z,1974-1-1-00,,device_not_recording
1745285220000,2025-04-22T01:27:00Z,1974-1-1-00,,device_not_recording
1745285280000,2025-04-22T01:28:00Z,1974-1-1-00,,device_not_recording
1745285340000,2025-04-22T01:29:00Z,1974-1-1-00,,device_not_recording
1745285400000,2025-04-22T01:30:00Z,1974-1-1-00,,device_not_recording
1745285460000,2025-04-22T01:31:00Z,1974-1-1-00,,device_not_recording
1745285520000,2025-04-22T01:32:00Z,1974-1-1-00,,device_not_recording
1745285580000,2025-04-22T01:33:00Z,1974-1-1-00,,device_not_recording
1745285640000,2025-04-22T01:34:00Z,1974-1-1-00,,device_not_recording
1745285700000,2025-04-22T01:35:00Z,1974-1-1-00,,device_not_recording
1745285760000,2025-04-22T01:36:00Z,1974-1-1-00,,device_not_recording
1745285820000,2025-04-22T01:37:00Z,1974-1-1-00,,device_not_recording
1745285880000,2025-04-22T01:38:00Z,1974-1-1-00,,device_not_recording
1745285940000,2025-04-22T01:39:00Z,1974-1-1-00,,device_not_recording
1745286000000,2025-04-22T01:40:00Z,1974-1-1-00,,device_not_recording
1745286060000,2025-04-22T01:41:00Z,1974-1-1-00,,device_not_recording
1745286120000,2025-04-22T01:42:00Z,1974-1-1-00,,device_not_recording
1745286180000,2025-04-22T01:43:00Z,1974-1-1-00,,device_not_recording
1745286240000,2025-04-22T01:44:00Z,1974-1-1-00,,device_not_recording
1745286300000,2025-04-22T01:45:00Z,1974-1-1-00,,device_not_recording
1745286360000,2025-04-22T01:46:00Z,1974-1-1-00,,device_not_recording
1745286420000,2025-04-22T01:47:00Z,1974-1-1-00,,device_not_recording
1745286480000,2025-04-22T01:48:00Z,1974-1-1-00,,device_not_recording
1745286540000,2025-04-22T01:49:00Z,1974-1-1-00,,device_not_recording
1745286600000,2025-04-22T01:50:00Z,1974-1-1-00,,device_not_recording
1745286660000,2025-04-22T01:51:00Z,1974-1-1-00,,device_not_recording
1745286720000,2025-04-22T01:52:00Z,1974-1-1-00,,device_not_recording
1745286780000,2025-04-22T01:53:00Z,1974-1-1-00,,device_not_recording
1745286840000,2025-04-22T01:54:00Z,1974-1-1-00,,device_not_recording
1745286900000,2025-04-22T01:55:00Z,1974-1-1-00,,device_not_recording
1745286960000,2025-04-22T01:56:00Z,1974-1-1-00,,device_not_recording
1745287020000,2025-04-22T01:57:00Z,1974-1-1-00,,device_not_recording
1745287080000,2025-04-22T01:58:00Z,1974-1-1-00,,device_not_recording
1745287140000,2025-04-22T01:59:00Z,1974-1-1-00,,device_not_recording
1745287200000,2025-04-22T02:00:00Z,1974-1-1-00,,device_not_recording
1745287260000,2025-04-22T02:01:00Z,1974-1-1-00,,device_not_recording
1745287320000,2025-04-22T02:02:00Z,1974-1-1-00,,device_not_recording
1745287380000,2025-04-22T02:03:00Z,1974-1-1-00,,device_not_recording
1745287440000,2025-04-22T02:04:00Z,1974-1-1-00,,device_not_recording
1745287500000,2025-04-22T02:05:00Z,1974-1-1-00,,device_not_recording
1745287560000,2025-04-22T02:06:00Z,1974-1-1-00,,device_not_recording
1745287620000,2025-04-22T02:07:00Z,1974-1-1-00,,device_not_recording
1745287680000,2025-04-22T02:08:00Z,1974-1-1-00,,device_not_recording
1745287740000,2025-04-22T02:09:00Z,1974-1-1-00,,device_not_recording
1745287800000,2025-04-22T02:10:00Z,1974-1-1-00,,device_not_recording
1745287860000,2025-04-22T02:11:00Z,1974-1-1-00,,device_not_recording
