timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1749427200000,2025-06-09T00:00:00Z,1573-1-1-002,,device_not_recording
1749427260000,2025-06-09T00:01:00Z,1573-1-1-002,,device_not_recording
1749427320000,2025-06-09T00:02:00Z,1573-1-1-002,,device_not_recording
1749427380000,2025-06-09T00:03:00Z,1573-1-1-002,,device_not_recording
1749427440000,2025-06-09T00:04:00Z,1573-1-1-002,,device_not_recording
1749427500000,2025-06-09T00:05:00Z,1573-1-1-002,,device_not_recording
1749427560000,2025-06-09T00:06:00Z,1573-1-1-002,,device_not_recording
1749427620000,2025-06-09T00:07:00Z,1573-1-1-002,,device_not_recording
1749427680000,2025-06-09T00:08:00Z,1573-1-1-002,,device_not_recording
1749427740000,2025-06-09T00:09:00Z,1573-1-1-002,,device_not_recording
1749427800000,2025-06-09T00:10:00Z,1573-1-1-002,,device_not_recording
1749427860000,2025-06-09T00:11:00Z,1573-1-1-002,,device_not_recording
1749427920000,2025-06-09T00:12:00Z,1573-1-1-002,,device_not_recording
1749427980000,2025-06-09T00:13:00Z,1573-1-1-002,,device_not_recording
1749428040000,2025-06-09T00:14:00Z,1573-1-1-002,,device_not_recording
1749428100000,2025-06-09T00:15:00Z,1573-1-1-002,,device_not_recording
1749428160000,2025-06-09T00:16:00Z,1573-1-1-002,,device_not_recording
1749428220000,2025-06-09T00:17:00Z,1573-1-1-002,,device_not_recording
1749428280000,2025-06-09T00:18:00Z,1573-1-1-002,,device_not_recording
1749428340000,2025-06-09T00:19:00Z,1573-1-1-002,,device_not_recording
1749428400000,2025-06-09T00:20:00Z,1573-1-1-002,,device_not_recording
1749428460000,2025-06-09T00:21:00Z,1573-1-1-002,,device_not_recording
1749428520000,2025-06-09T00:22:00Z,1573-1-1-002,,device_not_recording
1749428580000,2025-06-09T00:23:00Z,1573-1-1-002,,device_not_recording
1749428640000,2025-06-09T00:24:00Z,1573-1-1-002,,device_not_recording
1749428700000,2025-06-09T00:25:00Z,1573-1-1-002,,device_not_recording
1749428760000,2025-06-09T00:26:00Z,1573-1-1-002,,device_not_recording
1749428820000,2025-06-09T00:27:00Z,1573-1-1-002,,device_not_recording
1749428880000,2025-06-09T00:28:00Z,1573-1-1-002,,device_not_recording
1749428940000,2025-06-09T00:29:00Z,1573-1-1-002,,device_not_recording
1749429000000,2025-06-09T00:30:00Z,1573-1-1-002,,device_not_recording
1749429060000,2025-06-09T00:31:00Z,1573-1-1-002,,device_not_recording
1749429120000,2025-06-09T00:32:00Z,1573-1-1-002,,device_not_recording
1749429180000,2025-06-09T00:33:00Z,1573-1-1-002,,device_not_recording
1749429240000,2025-06-09T00:34:00Z,1573-1-1-002,,device_not_recording
1749429300000,2025-06-09T00:35:00Z,1573-1-1-002,,device_not_recording
1749429360000,2025-06-09T00:36:00Z,1573-1-1-002,,device_not_recording
1749429420000,2025-06-09T00:37:00Z,1573-1-1-002,,device_not_recording
1749429480000,2025-06-09T00:38:00Z,1573-1-1-002,,device_not_recording
1749429540000,2025-06-09T00:39:00Z,1573-1-1-002,,device_not_recording
1749429600000,2025-06-09T00:40:00Z,1573-1-1-002,,device_not_recording
1749429660000,2025-06-09T00:41:00Z,1573-1-1-002,,device_not_recording
1749429720000,2025-06-09T00:42:00Z,1573-1-1-002,,device_not_recording
1749429780000,2025-06-09T00:43:00Z,1573-1-1-002,,device_not_recording
1749429840000,2025-06-09T00:44:00Z,1573-1-1-002,,device_not_recording
1749429900000,2025-06-09T00:45:00Z,1573-1-1-002,,device_not_recording
1749429960000,2025-06-09T00:46:00Z,1573-1-1-002,,device_not_recording
1749430020000,2025-06-09T00:47:00Z,1573-1-1-002,,device_not_recording
1749430080000,2025-06-09T00:48:00Z,1573-1-1-002,,device_not_recording
1749430140000,2025-06-09T00:49:00Z,1573-1-1-002,,device_not_recording
1749430200000,2025-06-09T00:50:00Z,1573-1-1-002,,device_not_recording
1749430260000,2025-06-09T00:51:00Z,1573-1-1-002,,device_not_recording
1749430320000,2025-06-09T00:52:00Z,1573-1-1-002,,device_not_recording
1749430380000,2025-06-09T00:53:00Z,1573-1-1-002,,device_not_recording
1749430440000,2025-06-09T00:54:00Z,1573-1-1-002,,device_not_recording
1749430500000,2025-06-09T00:55:00Z,1573-1-1-002,,device_not_recording
1749430560000,2025-06-09T00:56:00Z,1573-1-1-002,,device_not_recording
1749430620000,2025-06-09T00:57:00Z,1573-1-1-002,,device_not_recording
1749430680000,2025-06-09T00:58:00Z,1573-1-1-002,,device_not_recording
1749430740000,2025-06-09T00:59:00Z,1573-1-1-002,,device_not_recording
1749430800000,2025-06-09T01:00:00Z,1573-1-1-002,,device_not_recording
1749430860000,2025-06-09T01:01:00Z,1573-1-1-002,,device_not_recording
1749430920000,2025-06-09T01:02:00Z,1573-1-1-002,,device_not_recording
1749430980000,2025-06-09T01:03:00Z,1573-1-1-002,,device_not_recording
1749431040000,2025-06-09T01:04:00Z,1573-1-1-002,,device_not_recording
1749431100000,2025-06-09T01:05:00Z,1573-1-1-002,,device_not_recording
1749431160000,2025-06-09T01:06:00Z,1573-1-1-002,,device_not_recording
1749431220000,2025-06-09T01:07:00Z,1573-1-1-002,,device_not_recording
1749431280000,2025-06-09T01:08:00Z,1573-1-1-002,,device_not_recording
1749431340000,2025-06-09T01:09:00Z,1573-1-1-002,,device_not_recording
1749431400000,2025-06-09T01:10:00Z,1573-1-1-002,,device_not_recording
1749431460000,2025-06-09T01:11:00Z,1573-1-1-002,,device_not_recording
1749431520000,2025-06-09T01:12:00Z,1573-1-1-002,,device_not_recording
1749431580000,2025-06-09T01:13:00Z,1573-1-1-002,,device_not_recording
1749431640000,2025-06-09T01:14:00Z,1573-1-1-002,,device_not_recording
1749431700000,2025-06-09T01:15:00Z,1573-1-1-002,,device_not_recording
1749431760000,2025-06-09T01:16:00Z,1573-1-1-002,,device_not_recording
1749431820000,2025-06-09T01:17:00Z,1573-1-1-002,,device_not_recording
1749431880000,2025-06-09T01:18:00Z,1573-1-1-002,,device_not_recording
1749431940000,2025-06-09T01:19:00Z,1573-1-1-002,,device_not_recording
1749432000000,2025-06-09T01:20:00Z,1573-1-1-002,,device_not_recording
1749432060000,2025-06-09T01:21:00Z,1573-1-1-002,,device_not_recording
