+id_participant,task_type,numero_sequence,time_beginning,midi_file
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,8,1721044253.0696661,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero8.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,15,1721044287.3302739,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero15.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,22,1721044320.6722395,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero22.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,12,1721044358.7087786,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero12.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,7,1721044396.1273675,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero7.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,13,1721044429.3781326,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero13.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,26,1721044465.4242196,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero26.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,11,1721044498.6518755,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero11.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,20,1721044534.107029,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero20.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,17,1721044566.9738371,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero17.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,24,1721044599.777524,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero24.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,1,1721044635.2015338,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero1.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,21,1721044668.069144,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero21.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,3,1721044705.144137,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero3.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,18,1721044743.2620244,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero18.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,4,1721044837.9016156,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero4.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,19,1721044875.4473176,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero19.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,6,1721044914.074863,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero6.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,5,1721044948.351969,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero5.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,23,1721044982.32968,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero23.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,2,1721045018.4397476,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero2.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,16,1721045052.0391235,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero16.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,14,1721045085.417807,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero14.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Reproduction,9,1721045119.9504182,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero9.mid
+1ca30a7bee729de19e6009235f9914cceeb9188b045bbb36576746e3ab7e3ef4,Perception,18,1745918675.9151523,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero18.mid
+1ca30a7bee729de19e6009235f9914cceeb9188b045bbb36576746e3ab7e3ef4,Perception,9,1745918701.8012283,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero9.mid
+1ca30a7bee729de19e6009235f9914cceeb9188b045bbb36576746e3ab7e3ef4,Perception,3,1745918738.4264839,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero3.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,2,1720706787.2987986,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero2.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,19,1720706807.020379,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero19.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,11,1720706870.1157548,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero11.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,18,1720706888.3693604,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero18.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,7,1720706934.1588523,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero7.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,14,1720706951.9252684,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero14.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,13,1720707002.1222982,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero13.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,10,1720707016.9793224,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero10.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,4,1720707035.5630562,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero4.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,24,1720707050.2969358,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero24.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,5,1720707080.3539476,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero5.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,26,1720707103.27234,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero26.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,1,1720707120.7367034,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero1.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,17,1720707134.9902546,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero17.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,8,1720707156.0406466,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero8.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,9,1720707174.0874288,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero9.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,6,1720707195.7764733,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero6.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,22,1720707213.7807453,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero22.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,16,1720707235.45616,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero16.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,25,1720707252.6859798,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero25.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,23,1720707273.602756,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero23.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,3,1720707288.4171422,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero3.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,12,1720707309.960876,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero12.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,20,1720707324.909319,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero20.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,15,1720707346.9818468,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero15.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,21,1720707361.8071992,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero21.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,15,1720707518.3614962,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero15.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,3,1720707572.691052,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero3.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,2,1720707624.9319904,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero2.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,26,1720707660.8824098,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero26.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,9,1720707694.6109889,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero9.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,25,1720707772.6446168,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero25.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,17,1720707811.280805,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero17.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,22,1720707844.27661,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero22.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,21,1720707880.3327045,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero21.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,1,1720707913.8968863,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero1.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,8,1720707948.8675058,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero8.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,5,1720707985.2751193,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero5.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,19,1720708019.4539251,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero19.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,10,1720708065.5050702,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero10.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,14,1720708112.7765133,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero14.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,11,1720708146.3399734,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero11.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,23,1720708181.7569788,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero23.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,12,1720708214.9405067,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero12.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,18,1720708248.5019808,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero18.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,4,1720708322.0696945,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero4.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,20,1720708357.6639402,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero20.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,7,1720708390.8326535,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero7.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,6,1720708425.3855758,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero6.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,16,1720708459.021173,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero16.mid
+1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Reproduction,24,1720708491.5356922,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero24.mid
