NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
4,90,9,3.8173294067382812,0.1469334363937378,3
8,70,8,3.9089975357055664,0.35696864128112793,3
1,110,15,2.7672462463378906,0.036893328030904136,2
23,70,7,2.2019057273864746,0.383842979158674,2
10,90,8,2.719451427459717,0.024267233335054837,3
25,70,7,2.287760019302368,0.35941362380981445,2
5,90,7,1.9089009761810303,0.13995848383222306,1
22,110,12,2.7744674682617188,0.10804094208611383,3
15,90,15,3.151549816131592,0.1827622652053833,3
24,70,7,2.1472771167755127,0.3641233103615897,2
13,110,15,2.660587787628174,0.04918539524078369,3
9,90,7,2.015779495239258,0.02677971976143973,2
20,70,8,3.0733375549316406,0.36235512219942534,1
16,90,8,2.119861364364624,0.14460327075077936,4
14,110,10,1.130131483078003,0.030413735996593128,4
2,70,7,2.2758872509002686,0.3665613446916853,1
21,110,5,0.8419818878173828,0.06332728266716003,1
11,90,7,1.841583251953125,0.17843311173575266,1
12,70,6,1.2718522548675537,0.36882891654968264,1
18,110,6,1.0988645553588867,0.02262225151062012,1
19,70,6,1.2871546745300293,0.40326932271321614,1
17,110,6,1.2520935535430908,0.16984278361002605,1
3,90,6,1.300769567489624,0.15648207664489747,1
26,70,6,1.5424940586090088,0.17033286094665528,1
6,110,6,1.092452049255371,0.03521715799967448,1
7,70,9,4.760986566543579,0.36275188128153485,1
