timestamp_unix,timestamp_iso,participant_full_id,body_position_left,body_position_right,missing_value_reason
1746748800000,2025-05-09T00:00:00Z,1974-1-1-05,,,device_not_recording
1746748860000,2025-05-09T00:01:00Z,1974-1-1-05,,,device_not_recording
1746748920000,2025-05-09T00:02:00Z,1974-1-1-05,,,device_not_recording
1746748980000,2025-05-09T00:03:00Z,1974-1-1-05,,,device_not_recording
1746749040000,2025-05-09T00:04:00Z,1974-1-1-05,,,device_not_recording
1746749100000,2025-05-09T00:05:00Z,1974-1-1-05,,,device_not_recording
1746749160000,2025-05-09T00:06:00Z,1974-1-1-05,,,device_not_recording
1746749220000,2025-05-09T00:07:00Z,1974-1-1-05,,,device_not_recording
1746749280000,2025-05-09T00:08:00Z,1974-1-1-05,,,device_not_recording
1746749340000,2025-05-09T00:09:00Z,1974-1-1-05,,,device_not_recording
1746749400000,2025-05-09T00:10:00Z,1974-1-1-05,,,device_not_recording
1746749460000,2025-05-09T00:11:00Z,1974-1-1-05,,,device_not_recording
1746749520000,2025-05-09T00:12:00Z,1974-1-1-05,,,device_not_recording
1746749580000,2025-05-09T00:13:00Z,1974-1-1-05,,,device_not_recording
1746749640000,2025-05-09T00:14:00Z,1974-1-1-05,,,device_not_recording
1746749700000,2025-05-09T00:15:00Z,1974-1-1-05,,,device_not_recording
1746749760000,2025-05-09T00:16:00Z,1974-1-1-05,,,device_not_recording
1746749820000,2025-05-09T00:17:00Z,1974-1-1-05,,,device_not_recording
1746749880000,2025-05-09T00:18:00Z,1974-1-1-05,,,device_not_recording
1746749940000,2025-05-09T00:19:00Z,1974-1-1-05,,,device_not_recording
1746750000000,2025-05-09T00:20:00Z,1974-1-1-05,,,device_not_recording
1746750060000,2025-05-09T00:21:00Z,1974-1-1-05,,,device_not_recording
1746750120000,2025-05-09T00:22:00Z,1974-1-1-05,,,device_not_recording
1746750180000,2025-05-09T00:23:00Z,1974-1-1-05,,,device_not_recording
1746750240000,2025-05-09T00:24:00Z,1974-1-1-05,,,device_not_recording
1746750300000,2025-05-09T00:25:00Z,1974-1-1-05,,,device_not_recording
1746750360000,2025-05-09T00:26:00Z,1974-1-1-05,,,device_not_recording
1746750420000,2025-05-09T00:27:00Z,1974-1-1-05,,,device_not_recording
1746750480000,2025-05-09T00:28:00Z,1974-1-1-05,,,device_not_recording
1746750540000,2025-05-09T00:29:00Z,1974-1-1-05,,,device_not_recording
1746750600000,2025-05-09T00:30:00Z,1974-1-1-05,,,device_not_recording
1746750660000,2025-05-09T00:31:00Z,1974-1-1-05,,,device_not_recording
1746750720000,2025-05-09T00:32:00Z,1974-1-1-05,,,device_not_recording
