IDParticpant,NumeroSequence,TempoAssocie,NoteAssocie
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,5,110,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,6,110,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,7,110,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,8,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,9,110,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,10,70,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,11,110,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,12,70,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,13,70,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,14,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,15,70,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,16,110,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,17,110,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,18,70,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,19,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,20,90,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,21,90,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,22,110,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,23,90,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,24,110,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,25,110,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,26,70,3
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,1,70,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,2,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,3,70,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,4,110,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,5,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,6,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,7,70,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,8,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,9,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,10,110,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,11,70,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,12,70,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,13,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,14,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,15,70,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,16,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,17,70,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,18,110,3
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,19,110,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,20,70,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,21,70,4
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,22,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,23,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,24,110,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,25,110,3
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,26,110,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,1,110,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,2,110,5
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,3,70,4
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,4,110,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,5,110,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,6,110,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,7,90,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,8,110,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,9,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,10,70,4
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,11,110,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,12,70,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,13,70,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,14,70,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,15,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,16,110,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,17,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,18,110,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,19,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,20,70,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,21,90,4
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,22,110,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,23,70,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,24,70,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,25,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,26,110,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,1,110,4
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,2,70,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,3,90,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,4,70,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,5,110,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,6,90,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,7,110,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,8,110,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,9,70,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,10,70,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,11,70,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,12,90,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,13,110,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,14,110,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,15,70,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,16,70,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,17,70,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,18,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,19,90,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,20,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,21,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,22,70,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,23,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,24,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,25,70,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,26,110,3
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,1,90,2
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,2,70,2
