IDParticpant,NumeroSequence,TempoAssocie,NoteAssocie
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,6,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,7,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,8,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,9,90,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,10,90,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,11,90,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,12,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,13,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,14,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,15,90,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,16,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,17,90,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,18,90,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,19,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,20,90,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,21,90,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,22,90,3
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,23,90,2
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,24,90,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,25,90,4
51fd64b88904a36c1f5a72d0e35a5e78f6b62dbc949e49a439282c3b6c8c8f05,26,90,4
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,1,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,2,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,3,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,4,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,5,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,6,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,7,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,8,90,3
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,9,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,10,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,11,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,12,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,13,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,14,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,15,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,16,90,3
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,17,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,18,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,19,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,20,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,21,90,3
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,22,90,3
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,23,90,2
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,24,90,4
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,25,90,1
54a23e3ab4d7043346cf5ce99f8d78f7d675f202a69be58ed4c43017c643ce15,26,90,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,1,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,2,90,4
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,3,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,4,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,5,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,6,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,7,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,8,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,9,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,10,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,11,90,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,12,90,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,13,90,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,14,90,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,15,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,16,90,2
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,17,90,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,18,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,19,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,20,90,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,21,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,22,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,23,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,24,90,1
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,25,90,3
54a976652cafc7d0cb2e1ad62be6b192f639549af82b3225a5988085295d94d8,26,90,4
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,1,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,2,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,3,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,4,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,5,90,4
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,6,90,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,7,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,8,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,9,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,10,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,11,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,12,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,13,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,14,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,15,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,16,90,1
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,17,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,18,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,19,90,4
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,20,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,21,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,22,90,0
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,23,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,24,90,3
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,25,90,2
645544b60fd617dbc9a045119fad73871389a1fbb619d26deeea0dab24fb597e,26,90,4
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,1,90,2
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,2,90,3
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,3,90,5
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,4,90,4
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,5,90,3
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,6,90,3
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,7,90,4
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,8,90,4
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,9,90,3
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,10,90,4
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,11,90,5
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,12,90,2
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,13,90,3
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,14,90,3
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,15,90,0
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,16,90,2
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,17,90,4
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,18,90,4
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,19,90,3
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,20,90,5
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,21,90,5
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,22,90,5
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,23,90,3
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,24,90,4
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,25,90,4
7555e1c617376ebf42cbc4d9de30c5c86b54d724baea128a718a4a5ee85e4ecc,26,90,5
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,1,90,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,2,90,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,3,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,4,90,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,5,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,6,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,7,90,5
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,8,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,9,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,10,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,11,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,12,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,13,90,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,14,90,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,15,90,3
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,16,90,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,17,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,18,90,3
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,19,90,4
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,20,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,21,90,3
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,22,90,1
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,23,90,2
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,24,90,4
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,25,90,4
7af8e773ca024b0e0dda102db4213ba20a2cd96400633357f5f3d75cd00826c3,26,90,1
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,1,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,2,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,3,90,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,4,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,5,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,6,90,1
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,7,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,8,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,9,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,10,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,11,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,12,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,13,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,14,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,15,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,16,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,17,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,18,90,2
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,19,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,20,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,21,90,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,22,90,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,23,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,24,90,4
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,25,90,3
8fa5045fe82a0202da97f9de1b3fe4f1e638c2b441c9fb5e66ba8120c8392db5,26,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,1,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,2,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,3,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,4,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,5,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,6,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,7,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,8,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,9,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,10,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,11,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,12,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,13,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,14,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,15,90,3
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,16,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,17,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,18,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,19,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,20,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,21,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,22,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,23,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,24,90,4
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,25,90,5
96d6d94b8563e2b8e5929ea1c066f222a01069fb71e34d3eb789b7922ed0c253,26,90,4
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,1,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,2,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,3,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,4,90,4
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,5,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,6,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,7,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,8,90,4
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,9,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,10,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,11,90,1
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,12,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,13,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,14,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,15,90,4
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,16,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,17,90,2
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,18,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,19,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,20,90,3
ca4fb3ad4d8e27fc5f4a12f5509b37255284c27abd63a8b4e025909044fd6001,21,90,2
