id_participant,task_type,sequence_number,complexity
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,20,4
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,15,5
1cb2b6625387a0a1d9736b9f87eec6424a56ccc566b1589cbd86aa7eafbaa657,Perception,21,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,11,1
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,12,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,19,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,3,1
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,13,1
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,10,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,7,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,5,4
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,24,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,6,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,4,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,15,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,21,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,23,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,17,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,14,2
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,8,4
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,2,5
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,18,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,25,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,9,4
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,1,1
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,22,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,20,3
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,26,1
1f0ed997385e4847e3ad9891188f90bab5648970b5312b5b77921e4f936dc2f3,Perception,16,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,7,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,19,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,1,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,8,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,11,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,10,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,16,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,23,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,21,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,26,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,22,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,15,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,14,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,9,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,5,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,17,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,13,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,12,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,18,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,25,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,2,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,3,1
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,24,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,20,3
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,6,2
2c90c744d2ce7b6f385dc87d949fe3faa2f752713c94bad9fbc4cbb5f31f66b1,Perception,4,3
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,8,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,17,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,6,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,20,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,26,2
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,4,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,5,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,14,3
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,3,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,22,2
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,13,1
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,25,2
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,12,2
30e6b03c1c7bc1a117038761a345aa2c5332a24fa64b504ea158f1f893679da7,Perception,15,1
