[1720943463.1347935, 1720943463.8014603, 1720943464.4681268, 1720943465.1347935, 1720943465.8014603, 1720943466.4681268, 1720943467.1347935, 1720943467.8014603, 1720943468.4681268, 1720943469.1347935, 1720943469.8014603, 1720943470.4681268, 1720943471.1347935, 1720943471.8014603, 1720943472.4681268, 1720943473.1347935, 1720943473.8014603, 1720943474.4681268, 1720943475.1347935, 1720943475.8014603, 1720943476.4681268]
[1720943501.5246205, 1720943502.070075, 1720943502.6155295, 1720943503.1609843, 1720943503.7064388, 1720943504.2518933, 1720943504.7973478, 1720943505.3428023, 1720943505.8882568, 1720943506.4337115, 1720943506.979166, 1720943507.5246205, 1720943508.070075, 1720943508.6155295, 1720943509.1609843, 1720943509.7064388, 1720943510.2518933, 1720943510.7973478, 1720943511.3428023, 1720943511.8882568, 1720943512.4337115]
[1720943566.4547455, 1720943567.1214123, 1720943567.7880788, 1720943568.4547455, 1720943569.1214123, 1720943569.7880788, 1720943570.4547455, 1720943571.1214123, 1720943571.7880788, 1720943572.4547455, 1720943573.1214123, 1720943573.7880788, 1720943574.4547455, 1720943575.1214123, 1720943575.7880788, 1720943576.4547455, 1720943577.1214123, 1720943577.7880788, 1720943578.4547455, 1720943579.1214123, 1720943579.7880788]
[1720943601.735122, 1720943602.2805765, 1720943602.826031, 1720943603.3714857, 1720943603.9169402, 1720943604.4623947, 1720943605.0078492, 1720943605.5533037, 1720943606.0987582, 1720943606.644213, 1720943607.1896675, 1720943607.735122, 1720943608.2805765, 1720943608.826031, 1720943609.3714857, 1720943609.9169402, 1720943610.4623947, 1720943611.0078492, 1720943611.5533037, 1720943612.0987582, 1720943612.644213]
[1720943628.9246662, 1720943629.591333, 1720943630.2579994, 1720943630.9246662, 1720943631.591333, 1720943632.2579994, 1720943632.9246662, 1720943633.591333, 1720943634.2579994, 1720943634.9246662, 1720943635.591333, 1720943636.2579994, 1720943636.9246662, 1720943637.591333, 1720943638.2579994, 1720943638.9246662, 1720943639.591333, 1720943640.2579994, 1720943640.9246662, 1720943641.591333, 1720943642.2579994]
[1720943677.0344965, 1720943677.8916395, 1720943678.7487822, 1720943679.605925, 1720943680.463068, 1720943681.320211, 1720943682.1773536, 1720943683.0344965, 1720943683.8916395, 1720943684.7487822, 1720943685.605925, 1720943686.463068, 1720943687.320211, 1720943688.1773536, 1720943689.0344965, 1720943689.8916395, 1720943690.7487822, 1720943691.605925, 1720943692.463068, 1720943693.320211, 1720943694.1773536]
[1720943732.9252675, 1720943733.470722, 1720943734.0161765, 1720943734.5616312, 1720943735.1070857, 1720943735.6525402, 1720943736.1979947, 1720943736.7434492, 1720943737.2889037, 1720943737.8343585, 1720943738.379813, 1720943738.9252675, 1720943739.470722, 1720943740.0161765, 1720943740.5616312, 1720943741.1070857, 1720943741.6525402, 1720943742.1979947, 1720943742.7434492, 1720943743.2889037, 1720943743.8343585]
[1720943767.354421, 1720943768.2115638, 1720943769.0687065, 1720943769.9258494, 1720943770.7829924, 1720943771.6401353, 1720943772.497278, 1720943773.354421, 1720943774.2115638, 1720943775.0687065, 1720943775.9258494, 1720943776.7829924, 1720943777.6401353, 1720943778.497278, 1720943779.354421, 1720943780.2115638, 1720943781.0687065, 1720943781.9258494, 1720943782.7829924, 1720943783.6401353, 1720943784.497278]
[1720943791.9744313, 1720943792.5198858, 1720943793.0653403, 1720943793.610795, 1720943794.1562495, 1720943794.701704, 1720943795.2471585, 1720943795.792613, 1720943796.3380675, 1720943796.8835223, 1720943797.4289768, 1720943797.9744313, 1720943798.5198858, 1720943799.0653403, 1720943799.610795, 1720943800.1562495, 1720943800.701704, 1720943801.2471585, 1720943801.792613, 1720943802.3380675, 1720943802.8835223]
[1720943819.824949, 1720943820.4916158, 1720943821.1582823, 1720943821.824949, 1720943822.4916158, 1720943823.1582823, 1720943823.824949, 1720943824.4916158, 1720943825.1582823, 1720943825.824949, 1720943826.4916158, 1720943827.1582823, 1720943827.824949, 1720943828.4916158, 1720943829.1582823, 1720943829.824949, 1720943830.4916158, 1720943831.1582823, 1720943831.824949, 1720943832.4916158, 1720943833.1582823]
[1720943844.004432, 1720943844.5498865, 1720943845.095341, 1720943845.6407957, 1720943846.1862502, 1720943846.7317047, 1720943847.2771592, 1720943847.8226137, 1720943848.3680682, 1720943848.913523, 1720943849.4589775, 1720943850.004432, 1720943850.5498865, 1720943851.095341, 1720943851.6407957, 1720943852.1862502, 1720943852.7317047, 1720943853.2771592, 1720943853.8226137, 1720943854.3680682, 1720943854.913523]
[1720943858.935069, 1720943859.792212, 1720943860.6493547, 1720943861.5064976, 1720943862.3636405, 1720943863.2207835, 1720943864.0779262, 1720943864.935069, 1720943865.792212, 1720943866.6493547, 1720943867.5064976, 1720943868.3636405, 1720943869.2207835, 1720943870.0779262, 1720943870.935069, 1720943871.792212, 1720943872.6493547, 1720943873.5064976, 1720943874.3636405, 1720943875.2207835, 1720943876.0779262]
[1720943927.374475, 1720943928.0411417, 1720943928.7078083, 1720943929.374475, 1720943930.0411417, 1720943930.7078083, 1720943931.374475, 1720943932.0411417, 1720943932.7078083, 1720943933.374475, 1720943934.0411417, 1720943934.7078083, 1720943935.374475, 1720943936.0411417, 1720943936.7078083, 1720943937.374475, 1720943938.0411417, 1720943938.7078083, 1720943939.374475, 1720943940.0411417, 1720943940.7078083]
