0.001,-0.005,-0.001,-0.001,0.000,-0.008,0.008,-0.002,-0.003,-0.006,0.000,0.027,-0.004,0.000,0.002,0.004,0.006,-0.006,-0.006,0.004,-0.005,0.002,-0.001,0.001,-0.007,0.003
-0.003,0.010,-0.006,-0.006,-0.001,-0.007,-0.002,-0.008,0.000,-0.008,-0.006,0.022,0.001,0.001,0.017,0.003,-0.004,-0.005,-0.004,0.000,-0.014,0.000,0.006,-0.001,-0.010,-0.002
0.030,0.061,0.031,0.048,0.015,0.016,0.027,0.027,0.059,0.034,0.046,0.097,0.030,0.028,0.061,0.027,0.033,0.029,0.044,0.029,0.038,0.025,0.041,0.031,0.104,0.027
1.460,1.605,1.671,1.655,1.565,1.552,1.539,1.667,1.443,1.604,1.764,1.349,1.465,1.456,1.446,1.401,1.547,1.625,1.565,1.643,1.723,1.505,1.573,1.474,1.547,1.541
1.462,1.607,1.669,1.656,1.565,1.548,1.539,1.668,1.444,1.603,1.764,1.360,1.462,1.453,1.447,1.410,1.552,1.623,1.559,1.646,1.721,1.505,1.573,1.476,1.547,1.545
0.011,0.017,0.017,0.034,0.009,0.020,0.017,0.009,0.012,0.021,0.015,0.061,0.017,0.014,0.029,0.032,0.020,0.020,0.020,0.011,0.014,0.010,0.017,0.016,0.020,0.025
4.455,2.909,6.364,5.636,4.091,5.909,6.000,5.273,4.273,6.364,5.273,5.273,5.545,4.091,5.727,5.545,4.545,4.545,6.091,6.182,5.545,4.455,5.182,5.545,3.455,5.182
0.055,-0.258,-0.083,-0.128,-0.038,-0.486,0.439,-0.098,-0.412,-0.631,0.158,2.258,-0.327,0.067,0.300,0.352,0.485,-0.385,-0.460,0.331,-0.366,0.073,-0.009,0.071,-0.587,0.307
0.079,0.178,0.099,0.138,0.023,0.029,0.025,0.086,0.184,0.058,0.154,0.315,0.113,0.100,0.157,0.071,0.065,0.130,0.103,0.097,0.118,0.055,0.122,0.112,0.238,0.079
0.127,0.268,0.165,0.171,0.034,0.049,0.048,0.109,0.243,0.094,0.225,0.338,0.256,0.164,0.337,0.116,0.088,0.160,0.142,0.152,0.153,0.081,0.461,0.175,0.677,0.114
0.002,0.004,0.002,0.002,0.000,0.001,0.001,0.001,0.003,0.001,0.003,0.004,0.002,0.002,0.003,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.005,0.002,0.006,0.001
0.186,0.447,1.144,0.551,-0.205,-0.657,-0.747,-0.143,2.845,-0.124,1.076,0.746,1.457,0.243,0.655,-0.306,-0.762,2.386,0.617,0.317,-0.648,3.146,-0.215,0.341,0.590,-0.121
0.366,0.282,-0.456,0.483,0.382,0.155,0.288,0.438,0.112,0.297,0.189,0.038,0.042,0.096,0.240,0.196,0.274,-0.361,0.036,0.122,0.276,-0.059,0.193,0.012,0.485,0.401
0.059,0.090,0.072,0.099,0.030,0.027,0.059,0.055,0.076,0.066,0.081,0.180,0.039,0.048,0.063,0.052,0.074,0.050,0.062,0.065,0.074,0.045,0.064,0.059,0.191,0.064
0.021,0.031,0.065,0.059,0.014,0.005,0.033,0.038,-0.070,0.021,0.002,-0.090,-0.021,0.000,-0.059,0.007,0.047,-0.050,0.044,0.038,0.048,0.014,-0.020,0.021,0.025,0.053
0.475,0.659,0.660,0.427,0.136,0.284,0.290,0.365,0.581,0.353,0.798,0.844,1.698,0.647,1.735,0.500,0.309,0.559,0.465,0.575,0.399,0.347,3.371,0.771,5.036,0.373
