NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
1,90,16,5.783635377883911,0.16185186890994802,2
8,90,31,6.922424554824829,0.07932430780850924,2
3,90,35,6.856999158859253,0.0736501116148183,1
14,90,29,7.188382148742676,0.09656428886672198,1
17,90,41,10.768095254898071,0.09048094140722397,2
12,90,28,6.8339760303497314,0.10191236512135651,1
4,90,41,9.846965312957764,0.08514887945992607,2
24,90,27,6.60955023765564,0.10103913213385911,2
9,90,31,6.805614233016968,0.08536259694532915,2
21,90,29,6.628891468048096,0.09832279435519514,3
19,90,28,6.806207180023193,0.09460492380734148,2
20,90,32,6.9332191944122314,0.09168295507077817,1
2,90,25,7.320667505264282,0.13085376132618298,2
23,90,29,6.817330598831177,0.09313209303494158,2
25,90,28,6.618446111679077,0.10190958895925749,2
16,90,28,6.6464221477508545,0.09638309889826281,1
26,90,27,6.7151007652282715,0.10218678894689527,1
13,90,29,6.580933332443237,0.0894143121284351,1
18,90,30,6.7702038288116455,0.0991345767317147,2
5,90,33,6.680902481079102,0.07772619194454616,3
7,90,29,6.882237672805786,0.08170792152141702,1
15,90,29,7.291339635848999,0.09379750490188599,2
11,90,30,7.23450779914856,0.09925418151052375,1
22,90,29,7.015974760055542,0.08963632172551649,3
6,90,40,6.6935875415802,0.05428607519282851,3
10,90,34,6.722377061843872,0.07824143105083042,1
