NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
21,90,17,3.5889060497283936,0.10236411225305844,3
18,90,10,3.8834073543548584,0.09724988808503023,3
12,90,24,5.415942668914795,0.09920056282527863,2
5,90,21,4.96036696434021,0.08610850305699591,3
23,90,14,3.7803471088409424,0.09801888465881348,2
16,90,23,4.263505220413208,0.08889700496007526,2
25,90,11,4.174805641174316,0.09793513933817545,4
14,90,24,5.033815383911133,0.09937954321503639,2
1,90,4,5.109912157058716,0.15665039202062095,3
2,90,5,4.259828090667725,0.1398809239977882,2
20,90,25,4.293822288513184,0.10149722714577952,4
13,90,26,4.214421510696411,0.09272546768188476,2
6,90,41,4.241040229797363,0.05513833270353429,2
10,90,39,6.736851692199707,0.07909987221902876,3
15,90,30,6.614081382751465,0.09177331757127193,4
24,90,16,6.720386743545532,0.09873857705489449,4
9,90,26,4.484294414520264,0.09004208019801549,3
17,90,27,6.750712871551514,0.09647393226623535,3
26,90,18,6.450096368789673,0.09325598618563484,4
8,90,27,4.763627290725708,0.07956046567243688,2
4,90,31,6.836683750152588,0.08351678198034113,2
7,90,25,3.706592321395874,0.07285274613288141,2
3,90,38,6.778848171234131,0.07099384501360465,3
11,90,30,7.218823194503784,0.10008818643134937,3
22,90,22,6.68529486656189,0.09678566083312035,3
19,90,18,6.5132505893707275,0.09305529883413603,2
