timestamp_unix,timestamp_iso,participant_full_id,body_position_left,body_position_right,missing_value_reason
1746835200000,2025-05-10T00:00:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835260000,2025-05-10T00:01:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835320000,2025-05-10T00:02:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835380000,2025-05-10T00:03:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835440000,2025-05-10T00:04:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835500000,2025-05-10T00:05:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835560000,2025-05-10T00:06:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835620000,2025-05-10T00:07:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835680000,2025-05-10T00:08:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835740000,2025-05-10T00:09:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835800000,2025-05-10T00:10:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835860000,2025-05-10T00:11:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835920000,2025-05-10T00:12:00Z,1974-1-1-08,,,device_not_worn_correctly
1746835980000,2025-05-10T00:13:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836040000,2025-05-10T00:14:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836100000,2025-05-10T00:15:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836160000,2025-05-10T00:16:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836220000,2025-05-10T00:17:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836280000,2025-05-10T00:18:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836340000,2025-05-10T00:19:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836400000,2025-05-10T00:20:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836460000,2025-05-10T00:21:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836520000,2025-05-10T00:22:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836580000,2025-05-10T00:23:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836640000,2025-05-10T00:24:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836700000,2025-05-10T00:25:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836760000,2025-05-10T00:26:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836820000,2025-05-10T00:27:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836880000,2025-05-10T00:28:00Z,1974-1-1-08,,,device_not_worn_correctly
1746836940000,2025-05-10T00:29:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837000000,2025-05-10T00:30:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837060000,2025-05-10T00:31:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837120000,2025-05-10T00:32:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837180000,2025-05-10T00:33:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837240000,2025-05-10T00:34:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837300000,2025-05-10T00:35:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837360000,2025-05-10T00:36:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837420000,2025-05-10T00:37:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837480000,2025-05-10T00:38:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837540000,2025-05-10T00:39:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837600000,2025-05-10T00:40:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837660000,2025-05-10T00:41:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837720000,2025-05-10T00:42:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837780000,2025-05-10T00:43:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837840000,2025-05-10T00:44:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837900000,2025-05-10T00:45:00Z,1974-1-1-08,,,device_not_worn_correctly
1746837960000,2025-05-10T00:46:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838020000,2025-05-10T00:47:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838080000,2025-05-10T00:48:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838140000,2025-05-10T00:49:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838200000,2025-05-10T00:50:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838260000,2025-05-10T00:51:00Z,1974-1-1-08,,,device_not_worn_correctly
1746838320000,2025-05-10T00:52:00Z,1974-1-1-08,,,device_not_worn_correctly
